checkout_id,member_id,book_id,checkout_date,return_date,first_name,last_name,grade,neighborhood,membership_status,join_date,title,author,genre,pages,publication_year,publisher,source,member_verified
9263.0,1047,517,2024-10-21,2024-11-07,Sara,Rashad,,Heliopolis,Inactive,2024-06-25,Shadows on the Corniche,Hani Nagati,Mystery,338,2015.0,Delta House,database,True
9340.0,1072,513,2025-08-24,2025-09-01,Seif,Zaki,9.0,Zamalek,Active,2025-10-21,Circuits for Beginners,Galal Mounir,Science,294,2021.0,Oasis Books,database,True
9231.0,1053,523,2024-02-04,2024-02-16,Adam,Shafik,9.0,Heliopolis,Active,2024-01-03,Footsteps in the Dust,Laila Shokry,Historical,276,2018.0,Oasis Books,database,True
9129.0,1032,513,2025-06-21,2025-06-29,Nada,Zaki,7.0,Nasr City,Active,2025-10-19,Circuits for Beginners,Galal Mounir,Science,294,2021.0,Oasis Books,database,True
9370.0,1079,511,2025-11-11,2025-12-03,Rana,Osman,8.0,Shubra,Active,2024-10-27,Winter in Alexandria,Farida Anwar,Historical,117,2016.0,Nile Press,database,True
9082.0,1010,528,2025-11-11,2025-11-18,Nour,Nabil,6.0,Maadi ,Active,2024-05-15,The Glass Beehive,Mona Kholoussy,Nature,114,2010.0,Delta House,database,True
9238.0,1057,513,2024-03-28,2024-04-08,Ahmed,Fahmy,8.0,Heliopolis,Active,2024-01-12,Circuits for Beginners,Galal Mounir,Science,294,2021.0,Oasis Books,database,True
9012.0,1010,501,2025-02-17,,Nour,Nabil,6.0,Maadi ,Active,2024-05-15,The Silver Kite,Amina Darwish,Adventure,128,2017.0,Nile Press,database,True
9127.0,1024,506,2025-06-13,,Youssef,Hegazy,8.0,Nasr City,inactive,2024-01-04,The Paper Boat Club,Aya Hafez,Friendship,183,,Nile Press,database,True
9020.0,1016,506,2024-04-15,2024-05-04,Dina,Rashad,8.0,Maadi,Active,2023-04-24,The Paper Boat Club,Aya Hafez,Friendship,183,,Nile Press,database,True
9208.0,1044,525,2024-07-10,2024-08-01,Sherif,Saleh,7.0,Heliopolis,active,2024-02-19,Storms and Sailboats,Mahmoud Rafei,Adventure,297,2015.0,Oasis Books,database,True
9319.0,1065,515,2025-02-10,2025-02-21,Adam,Fahmy,6.0,Zamalek,Active,2025-07-12,Songs of the Oasis,Hoda Bakry,Poetry,316,2022.0,Cairo Young Readers,database,True
9097.0,1018,501,2025-10-05,2025-10-14,Ahmed,Shafik,9.0,Maadi,Active,2023-01-28,The Silver Kite,Amina Darwish,Adventure,128,2017.0,Nile Press,database,True
9137.0,1041,519,2025-07-27,2025-08-05,Nada,Rashad,7.0,Nasr City,Active,2024-04-02,Kites Over Cairo,Jasmine Wahdan,Friendship,157,2014.0,Nile Press,database,True
9157.0,1032,525,2024-03-04,2024-04-03,Nada,Zaki,7.0,Nasr City,Active,2025-10-19,Storms and Sailboats,Mahmoud Rafei,Adventure,297,2015.0,Oasis Books,database,True
9383.0,1070,501,2024-07-11,2024-07-31,Ahmed,Zaki,9.0,Zamalek,Active,2025-07-22,The Silver Kite,Amina Darwish,Adventure,128,2017.0,Nile Press,database,True
9131.0,1034,505,2025-12-16,2025-12-25,Aya,Wahba,9.0,Nasr City,Active,2025-01-22,Letters to the Nile,Aya Hafez,Historical,216,2024.0,Oasis Books,database,True
9113.0,1027,507,2024-06-26,2024-07-08,Mostafa,Fouad,9.0,Nasr City,Active,2023-09-25,Fossils and Fireflies,Dalia Serry,Science,160,2024.0,Nile Press,database,True
9144.0,1024,501,2025-11-07,2025-11-25,Youssef,Hegazy,8.0,Nasr City,inactive,2024-01-04,The Silver Kite,Amina Darwish,Adventure,128,2017.0,Nile Press,database,True
9005.0,1008,513,2025-04-20,2025-04-29,Ziad,Saleh,8.0,Maadi,active,2025-10-28,Circuits for Beginners,Galal Mounir,Science,294,2021.0,Oasis Books,database,True
9272.0,1044,518,2025-01-24,2025-02-04,Sherif,Saleh,7.0,Heliopolis,active,2024-02-19,The Ninth Lighthouse,Hani Nagati,Adventure,163,2011.0,Delta House,database,True
9283.0,1072,513,2025-09-17,2025-09-25,Seif,Zaki,9.0,Zamalek,Active,2025-10-21,Circuits for Beginners,Galal Mounir,Science,294,2021.0,Oasis Books,database,True
9030.0,1018,507,2025-03-09,,Ahmed,Shafik,9.0,Maadi,Active,2023-01-28,Fossils and Fireflies,Dalia Serry,Science,160,2024.0,Nile Press,database,True
9291.0,1065,526,2024-03-25,2024-03-31,Adam,Fahmy,6.0,Zamalek,Active,2025-07-12,The Clockwork Orchard,Mahmoud Rafei,Science Fiction,125,2016.0,Delta House,database,True
9369.0,1076,501,2025-06-05,,Dina,Wahba,7.0,Shubra,Active,2025-12-13,The Silver Kite,Amina Darwish,Adventure,128,2017.0,Nile Press,database,True
9225.0,1059,516,2025-08-06,2025-08-22,Lina,Halim,7.0,Heliopolis,Active,2024-01-06,The Beekeeper's Almanac,Hoda Bakry,Nature,241,2010.0,Nile Press,database,True
9256.0,1059,521,2025-07-09,,Lina,Halim,7.0,Heliopolis,Active,2024-01-06,A Garden of Equations,Karim Elwy,Science,211,2024.0,Cairo Young Readers,database,True
9234.0,1053,525,2024-02-13,2024-03-06,Adam,Shafik,9.0,Heliopolis,Active,2024-01-03,Storms and Sailboats,Mahmoud Rafei,Adventure,297,2015.0,Oasis Books,database,True
9152.0,1030,525,2025-01-03,,Reem,Osman,,Nasr City,Active,2025-04-01,Storms and Sailboats,Mahmoud Rafei,Adventure,297,2015.0,Oasis Books,database,True
9063.0,1018,515,2024-10-22,,Ahmed,Shafik,9.0,Maadi,Active,2023-01-28,Songs of the Oasis,Hoda Bakry,Poetry,316,2022.0,Cairo Young Readers,database,True
9161.0,1040,519,2025-10-11,2025-11-01,Dina,Adel,9.0,Nasr City,Active,2025-12-26,Kites Over Cairo,Jasmine Wahdan,Friendship,157,2014.0,Nile Press,database,True
9206.0,1050,519,2024-03-17,,Fares,Adel,6.0,Heliopolis,inactive,2025-09-10,Kites Over Cairo,Jasmine Wahdan,Friendship,157,2014.0,Nile Press,database,True
9031.0,1020,530,2025-12-28,2026-01-05,Rana,Fouad,6.0,Maadi,Active,2025-12-04,The Sandstone Key,Sara Tantawy,Adventure,208,2012.0,Oasis Books,database,True
9189.0,1032,507,2025-12-08,2025-12-16,Nada,Zaki,7.0,Nasr City,Active,2025-10-19,Fossils and Fireflies,Dalia Serry,Science,160,2024.0,Nile Press,database,True
9288.0,1065,519,2025-03-20,2025-03-31,Adam,Fahmy,6.0,Zamalek,Active,2025-07-12,Kites Over Cairo,Jasmine Wahdan,Friendship,157,2014.0,Nile Press,database,True
9236.0,1052,507,2024-09-02,2024-09-29,Retaj,Adel,7.0,Heliopolis,Active,2025-06-07,Fossils and Fireflies,Dalia Serry,Science,160,2024.0,Nile Press,database,True
9360.0,1077,520,2024-03-04,2024-03-16,Lina,Rashad,6.0,Shubra,Active,2023-07-08,The Copper Telescope,Jasmine Wahdan,Science Fiction,136,2009.0,Oasis Books,database,True
9111.0,1027,510,2024-09-12,2024-10-03,Mostafa,Fouad,9.0,Nasr City,Active,2023-09-25,The Missing Metronome,Diaa Sultan,Mystery,134,2013.0,Cairo Young Readers,database,True
9342.0,1068,501,2025-05-28,2025-06-27,Layla,Hegazy,8.0,Zamalek,Inactive,2025-02-24,The Silver Kite,Amina Darwish,Adventure,128,2017.0,Nile Press,database,True
9380.0,1022,513,2024-04-22,2024-04-28,Youssef,Fouad,7.0,Maadi,Active,2025-02-28,Circuits for Beginners,Galal Mounir,Science,294,2021.0,Oasis Books,database,True
9302.0,1061,507,2024-06-22,,Ziad,Fahmy,9.0,zamalek,Inactive,2023-04-27,Fossils and Fireflies,Dalia Serry,Science,160,2024.0,Nile Press,database,True
9173.0,1027,532,2025-03-10,2025-04-06,Mostafa,Fouad,9.0,Nasr City,Active,2023-09-25,The Last Bookmark,Samir Zohdy,Friendship,337,2017.0,Oasis Books,database,True
9019.0,1014,513,2024-03-06,2024-03-23,Habiba,Nabil,6.0,Maadi,Active,2024-07-09,Circuits for Beginners,Galal Mounir,Science,294,2021.0,Oasis Books,database,True
9143.0,1024,518,2025-10-02,,Youssef,Hegazy,8.0,Nasr City,inactive,2024-01-04,The Ninth Lighthouse,Hani Nagati,Adventure,163,2011.0,Delta House,database,True
9222.0,1050,505,2024-01-09,2024-02-01,Fares,Adel,6.0,Heliopolis,inactive,2025-09-10,Letters to the Nile,Aya Hafez,Historical,216,2024.0,Oasis Books,database,True
9101.0,1020,532,2025-05-25,2025-06-15,Rana,Fouad,6.0,Maadi,Active,2025-12-04,The Last Bookmark,Samir Zohdy,Friendship,337,2017.0,Oasis Books,database,True
9316.0,1065,513,2024-08-25,2024-09-17,Adam,Fahmy,6.0,Zamalek,Active,2025-07-12,Circuits for Beginners,Galal Mounir,Science,294,2021.0,Oasis Books,database,True
9148.0,1027,532,2025-07-05,2025-07-26,Mostafa,Fouad,9.0,Nasr City,Active,2023-09-25,The Last Bookmark,Samir Zohdy,Friendship,337,2017.0,Oasis Books,database,True
9070.0,1018,513,2025-01-08,2025-02-01,Ahmed,Shafik,9.0,Maadi,Active,2023-01-28,Circuits for Beginners,Galal Mounir,Science,294,2021.0,Oasis Books,database,True
9139.0,1036,521,2024-03-14,2024-03-20,Lina,Zaki,7.0,Nasr City,Active,2025-08-05,A Garden of Equations,Karim Elwy,Science,211,2024.0,Cairo Young Readers,database,True
9043.0,1005,505,2024-01-26,2024-02-04,Youssef,Halim,9.0,Maadi,Active,2024-05-05,Letters to the Nile,Aya Hafez,Historical,216,2024.0,Oasis Books,database,True
9187.0,1034,502,2024-08-11,,Aya,Wahba,9.0,Nasr City,Active,2025-01-22,Desert Compass,Amina Darwish,Adventure,109,2018.0,Delta House,database,True
9269.0,1054,507,2025-01-26,2025-01-31,Retaj,Fahmy,6.0,Heliopolis,Inactive,2024-03-21,Fossils and Fireflies,Dalia Serry,Science,160,2024.0,Nile Press,database,True
9056.0,1010,519,2025-07-11,2025-07-27,Nour,Nabil,6.0,Maadi ,Active,2024-05-15,Kites Over Cairo,Jasmine Wahdan,Friendship,157,2014.0,Nile Press,database,True
9057.0,1020,519,2025-02-03,,Rana,Fouad,6.0,Maadi,Active,2025-12-04,Kites Over Cairo,Jasmine Wahdan,Friendship,157,2014.0,Nile Press,database,True
9140.0,1034,513,2025-03-06,2025-04-02,Aya,Wahba,9.0,Nasr City,Active,2025-01-22,Circuits for Beginners,Galal Mounir,Science,294,2021.0,Oasis Books,database,True
9209.0,1058,525,2024-11-22,2024-12-12,Lina,Mansour,8.0,Heliopolis,active,2025-07-20,Storms and Sailboats,Mahmoud Rafei,Adventure,297,2015.0,Oasis Books,database,True
9249.0,1057,519,2024-10-17,2024-11-03,Ahmed,Fahmy,8.0,Heliopolis,Active,2024-01-12,Kites Over Cairo,Jasmine Wahdan,Friendship,157,2014.0,Nile Press,database,True
9058.0,1006,501,2025-03-18,2025-04-09,Layla,Mansour,6.0,Maadi,Inactive,2024-02-12,The Silver Kite,Amina Darwish,Adventure,128,2017.0,Nile Press,database,True
9366.0,1079,503,2024-06-23,2024-07-23,Rana,Osman,8.0,Shubra,Active,2024-10-27,The Lantern Maker,Adel Roushdy,Historical,259,,Nile Press,database,True
9218.0,1044,532,2025-04-23,2025-05-04,Sherif,Saleh,7.0,Heliopolis,active,2024-02-19,The Last Bookmark,Samir Zohdy,Friendship,337,2017.0,Oasis Books,database,True
9355.0,1075,515,2024-11-10,2024-12-02,Malak,Fahmy,7.0,Shubra,Active,2024-10-28,Songs of the Oasis,Hoda Bakry,Poetry,316,2022.0,Cairo Young Readers,database,True
9205.0,1053,525,2024-12-02,2024-12-14,Adam,Shafik,9.0,Heliopolis,Active,2024-01-03,Storms and Sailboats,Mahmoud Rafei,Adventure,297,2015.0,Oasis Books,database,True
9025.0,1001,525,2024-10-24,2024-11-07,Salma,Ibrahim,8.0,Maadi,Active,2023-04-05,Storms and Sailboats,Mahmoud Rafei,Adventure,297,2015.0,Oasis Books,database,True
9124.0,1024,525,2025-10-14,2025-11-13,Youssef,Hegazy,8.0,Nasr City,inactive,2024-01-04,Storms and Sailboats,Mahmoud Rafei,Adventure,297,2015.0,Oasis Books,database,True
9034.0,1015,511,2025-10-13,,Hamza,Sabry,7.0,Maadi,Inactive,2025-08-13,Winter in Alexandria,Farida Anwar,Historical,117,2016.0,Nile Press,database,True
9181.0,1041,509,2025-03-24,,Nada,Rashad,7.0,Nasr City,Active,2024-04-02,Marbles and Mirrors,Diaa Sultan,Mystery,221,2011.0,Nile Press,database,True
9171.0,1027,507,2025-05-23,2025-06-19,Mostafa,Fouad,9.0,Nasr City,Active,2023-09-25,Fossils and Fireflies,Dalia Serry,Science,160,2024.0,Nile Press,database,True
9318.0,1067,513,2025-07-23,2025-08-17,Aya,Ibrahim,7.0,Zamalek,Inactive,2024-07-03,Circuits for Beginners,Galal Mounir,Science,294,2021.0,Oasis Books,database,True
9296.0,1065,501,2024-12-15,2025-01-11,Adam,Fahmy,6.0,Zamalek,Active,2025-07-12,The Silver Kite,Amina Darwish,Adventure,128,2017.0,Nile Press,database,True
9348.0,1075,532,2024-07-28,2024-08-25,Malak,Fahmy,7.0,Shubra,Active,2024-10-28,The Last Bookmark,Samir Zohdy,Friendship,337,2017.0,Oasis Books,database,True
9141.0,1027,529,2025-02-09,2025-03-03,Mostafa,Fouad,9.0,Nasr City,Active,2023-09-25,Riddles of the Red Sea,Sara Tantawy,Mystery,298,,Cairo Young Readers,database,True
9094.0,1022,527,2024-11-22,2024-12-08,Youssef,Fouad,7.0,Maadi,Active,2025-02-28,Notes from the Delta,Mona Kholoussy,Nature,328,2017.0,Delta House,database,True
9280.0,1054,517,2024-09-06,2024-09-15,Retaj,Fahmy,6.0,Heliopolis,Inactive,2024-03-21,Shadows on the Corniche,Hani Nagati,Mystery,338,2015.0,Delta House,database,True
9211.0,1044,507,2025-04-28,2025-05-25,Sherif,Saleh,7.0,Heliopolis,active,2024-02-19,Fossils and Fireflies,Dalia Serry,Science,160,2024.0,Nile Press,database,True
9294.0,1067,507,2024-11-26,,Aya,Ibrahim,7.0,Zamalek,Inactive,2024-07-03,Fossils and Fireflies,Dalia Serry,Science,160,2024.0,Nile Press,database,True
9372.0,1076,519,2025-03-06,2025-04-02,Dina,Wahba,7.0,Shubra,Active,2025-12-13,Kites Over Cairo,Jasmine Wahdan,Friendship,157,2014.0,Nile Press,database,True
9112.0,1031,521,2024-07-28,2024-08-22,Ali,Fahmy,8.0,NASR CITY,Active,2023-09-08,A Garden of Equations,Karim Elwy,Science,211,2024.0,Cairo Young Readers,database,True
9001.0,1008,501,2025-08-23,2025-08-28,Ziad,Saleh,8.0,Maadi,active,2025-10-28,The Silver Kite,Amina Darwish,Adventure,128,2017.0,Nile Press,database,True
9328.0,1070,501,2024-01-28,,Ahmed,Zaki,9.0,Zamalek,Active,2025-07-22,The Silver Kite,Amina Darwish,Adventure,128,2017.0,Nile Press,database,True
9075.0,1018,510,2024-07-01,,Ahmed,Shafik,9.0,Maadi,Active,2023-01-28,The Missing Metronome,Diaa Sultan,Mystery,134,2013.0,Cairo Young Readers,database,True
9149.0,1032,507,2025-02-09,2025-02-18,Nada,Zaki,7.0,Nasr City,Active,2025-10-19,Fossils and Fireflies,Dalia Serry,Science,160,2024.0,Nile Press,database,True
9165.0,1030,519,2025-03-27,2025-04-02,Reem,Osman,,Nasr City,Active,2025-04-01,Kites Over Cairo,Jasmine Wahdan,Friendship,157,2014.0,Nile Press,database,True
9255.0,1044,509,2025-05-24,2025-06-13,Sherif,Saleh,7.0,Heliopolis,active,2024-02-19,Marbles and Mirrors,Diaa Sultan,Mystery,221,2011.0,Nile Press,database,True
9304.0,1068,519,2024-04-16,2024-05-09,Layla,Hegazy,8.0,Zamalek,Inactive,2025-02-24,Kites Over Cairo,Jasmine Wahdan,Friendship,157,2014.0,Nile Press,database,True
9322.0,1061,510,2025-10-20,2025-11-15,Ziad,Fahmy,9.0,zamalek,Inactive,2023-04-27,The Missing Metronome,Diaa Sultan,Mystery,134,2013.0,Cairo Young Readers,database,True
9317.0,1061,507,2024-01-26,2024-02-09,Ziad,Fahmy,9.0,zamalek,Inactive,2023-04-27,Fossils and Fireflies,Dalia Serry,Science,160,2024.0,Nile Press,database,True
9271.0,1044,513,2025-04-26,2025-05-06,Sherif,Saleh,7.0,Heliopolis,active,2024-02-19,Circuits for Beginners,Galal Mounir,Science,294,2021.0,Oasis Books,database,True
9186.0,1034,516,2025-07-17,2025-08-03,Aya,Wahba,9.0,Nasr City,Active,2025-01-22,The Beekeeper's Almanac,Hoda Bakry,Nature,241,2010.0,Nile Press,database,True
9333.0,1072,520,2025-06-03,2025-06-08,Seif,Zaki,9.0,Zamalek,Active,2025-10-21,The Copper Telescope,Jasmine Wahdan,Science Fiction,136,2009.0,Oasis Books,database,True
9188.0,1023,507,2025-05-11,2025-06-08,Hassan,Rashad,8.0,Nasr City,Inactive,,Fossils and Fireflies,Dalia Serry,Science,160,2024.0,Nile Press,database,True
9371.0,1079,528,2025-04-22,2025-05-02,Rana,Osman,8.0,Shubra,Active,2024-10-27,The Glass Beehive,Mona Kholoussy,Nature,114,2010.0,Delta House,database,True
9036.0,1010,515,2024-11-27,2024-12-24,Nour,Nabil,6.0,Maadi ,Active,2024-05-15,Songs of the Oasis,Hoda Bakry,Poetry,316,2022.0,Cairo Young Readers,database,True
9163.0,1034,531,2025-12-28,2026-01-02,Aya,Wahba,9.0,Nasr City,Active,2025-01-22,Voices in the Library,Samir Zohdy,Friendship,272,2018.0,Oasis Books,database,True
9091.0,1008,525,2024-06-03,2024-06-12,Ziad,Saleh,8.0,Maadi,active,2025-10-28,Storms and Sailboats,Mahmoud Rafei,Adventure,297,2015.0,Oasis Books,database,True
9092.0,1019,507,2025-03-20,2025-03-27,Mostafa,Wahba,6.0,Maadi,Inactive,2024-07-20,Fossils and Fireflies,Dalia Serry,Science,160,2024.0,Nile Press,database,True
9040.0,1016,529,2025-01-23,2025-02-11,Dina,Rashad,8.0,Maadi,Active,2023-04-24,Riddles of the Red Sea,Sara Tantawy,Mystery,298,,Cairo Young Readers,database,True
9376.0,1024,518,2025-10-22,2025-11-04,Youssef,Hegazy,8.0,Nasr City,inactive,2024-01-04,The Ninth Lighthouse,Hani Nagati,Adventure,163,2011.0,Delta House,database,True
9033.0,1020,522,2025-02-26,2025-03-11,Rana,Fouad,6.0,Maadi,Active,2025-12-04,The Puzzle Merchant,Karim Elwy,Mystery,104,2016.0,Cairo Young Readers,database,True
9341.0,1065,516,2025-02-19,2025-03-09,Adam,Fahmy,6.0,Zamalek,Active,2025-07-12,The Beekeeper's Almanac,Hoda Bakry,Nature,241,2010.0,Nile Press,database,True
9247.0,1044,510,2025-02-01,2025-02-23,Sherif,Saleh,7.0,Heliopolis,active,2024-02-19,The Missing Metronome,Diaa Sultan,Mystery,134,2013.0,Cairo Young Readers,database,True
9184.0,1026,501,2024-12-15,2025-01-11,Nada,Saleh,7.0,Nasr City,inactive,2023-11-16,The Silver Kite,Amina Darwish,Adventure,128,2017.0,Nile Press,database,True
9228.0,1044,516,2024-12-05,2024-12-26,Sherif,Saleh,7.0,Heliopolis,active,2024-02-19,The Beekeeper's Almanac,Hoda Bakry,Nature,241,2010.0,Nile Press,database,True
9331.0,1065,525,2025-02-17,2025-02-23,Adam,Fahmy,6.0,Zamalek,Active,2025-07-12,Storms and Sailboats,Mahmoud Rafei,Adventure,297,2015.0,Oasis Books,database,True
